city,date,latitude,longitude

Karjaa,17.4.,60.07,23.66

Tammisaari,20.4.,59.97,23.45

Forssa,22.4.,60.82,23.61

Hämeenlinna,24.4.,60.99,24.46

Kouvola,27.4.,60.87,26.7

Heinola,1.5.,61.2,26.04

Kotka,2.5.,60.47,26.95

Hamina,4.5.,60.57,27.19

Lahti,5.5.,60.98,25.66

Jämsänkoski,8.5.,62.01,24.81

Mänttä,9.5.,62.17,24.32

Keuruu,11.5.,62.26,24.7

Kauhajoki,12.5.,62.43,22.18

Jalasjärvi,13.5.,62.3,22.75

Alajärvi,14.5.,62.88,23.76

Alahärmä,15.5.,63.15,22.7

Pietarsaari,16.5.,63.68,22.67

Kokkola,18.5.,63.84,23.13

Kalajoki,20.5.,64.28,24.37

Raahe,21.5.,64.68,24.48

Oulu,22.5.,65.01,25.47

Ii,1.6.,65.32,25.37

Tornio,2.6.,65.85,24.15

Rovaniemi,4.6.,66.5,25.73

Kittilä/Levi,9.6.,67.8,24.0

Sodankylä,11.6.,67.42,26.59

Ivalo,13.6.,68.64,27.54

Kemijärvi,15.6.,66.77,26.74

Kuusamo,16.6.,65.97,29.19

Ämmänsaari,18.6.,65.0,27.5

Kajaani,20.6.,64.22,27.73

Nurmes,22.6.,63.55,29.14

Iisalmi,23.6.,63.77,27.25

Kuopio,25.6.,62.89,27.68

Outokumpu,29.6.,62.72,29.75

Joensuu,30.6.,62.6,29.76

Kitee,4.7.,62.22,30.15

Parikkala,5.7.,61.73,29.73

Imatra,6.7.,61.17,28.75

Lappeenranta,8.7.,61.06,28.19

Mikkeli,11.7.,61.69,27.27

Savonlinna,13.7.,61.87,28.88

Varkaus,15.7.,62.32,27.87

Pieksämäki,17.7.,62.3,26.84

Suonenjoki,18.7.,62.61,27.68

Vaajakoski,19.7.,62.27,25.67

Jyväskylä,20.7.,62.24,25.72

Suolahti,23.7.,62.57,25.94

Seinäjoki,25.7.,62.79,22.84

Vaasa,27.7.,63.1,21.62

Teuva,30.7.,62.52,21.77

Huittinen,1.8.,61.11,22.56

Eura,2.8.,60.99,22.17

Pori,3.8.,61.48,21.78

Uusikaupunki,6.8.,60.81,21.4

Turku,8.8.,60.45,22.27

Salo,17.8.,60.39,23.23

Loimaa,19.8.,60.85,22.76

Tampere,21.8.,61.5,23.76

Kangasala,31.8.,61.47,24.07

Valkeakoski,2.9.,61.26,24.03

Hyvinkää,4.9.,60.62,25.0

Porvoo,7.9.,60.39,25.67

Sipoo,9.9.,60.37,25.27

Kerava,10.9.,60.4,25.05

Tuusula,12.9.,60.4,25.05

Kauniainen,14.9.,60.32,24.72

Kirkkonummi,16.9.,60.12,24.44

Lohja,19.9.,60.25,24.07

Helsinki,23.9.,60.17,24.94

